"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @CRANberriesFeed: New CRAN package MSBVAR with initial version 0.9-0 http://t.co/0QdYpkOpae #rstats",FALSE,0,NA,2014-06-02 07:27:09,FALSE,NA,"473365186947330048",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","DiffusePrioR",1,TRUE,FALSE,NA,NA
"2","RT @KirkDBorne: Build your own Recommendation Engine using R: http://t.co/hhHP35PUDo #Rstats #DataScience #BigData #Analytics #RecSys http:…",FALSE,0,NA,2014-06-02 06:45:57,FALSE,NA,"473354815956086784",NA,"<a href=""http://www.flipboard.com"" rel=""nofollow"">Flipboard</a>","kuznetsovin",15,TRUE,FALSE,NA,NA
"3","RT @NERSC: You can now do multidimensional #image #processing &amp; #analysis in R thx @LBNLcs T. Perciano http://t.co/m2Z4equcrn #rstats @Berk…",FALSE,0,NA,2014-06-02 06:32:07,FALSE,NA,"473351337019592704",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","plinytheelder_t",1,TRUE,FALSE,NA,NA
"4","RT @KirkDBorne: &gt; @gopivotal introduces R for #BigData with PivotalR: http://t.co/flmv3GHxaH #Rstats #DataScience #Analytics http://t.co/if…",FALSE,0,NA,2014-06-02 06:07:08,FALSE,NA,"473345049376620544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MikePearmain",14,TRUE,FALSE,NA,NA
"5","RT @Bioconductor: BioC2014 #rstats / #Bioconductor annual conference July 30-Aug 1, Boston https://t.co/Afdv2lhOJ3",FALSE,0,NA,2014-06-02 06:02:30,FALSE,NA,"473343881996931072",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hrhotz",5,TRUE,FALSE,NA,NA
"6","Two Million #Regressions an Hour - via @ThomasintVeld @BrightNorth  http://t.co/Be502qhTWh #Rstats",FALSE,0,NA,2014-06-02 06:00:53,FALSE,NA,"473343474218303488",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","BrightNorth",0,FALSE,FALSE,NA,NA
"7","RT @Bioconductor: BioC2014 #rstats / #Bioconductor annual conference July 30-Aug 1, Boston https://t.co/Afdv2lhOJ3",FALSE,0,NA,2014-06-02 05:39:58,FALSE,NA,"473338210203238400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","robertclab",5,TRUE,FALSE,NA,NA
"8","RT @Bioconductor: BioC2014 #rstats / #Bioconductor annual conference July 30-Aug 1, Boston https://t.co/Afdv2lhOJ3",FALSE,0,NA,2014-06-02 05:37:57,FALSE,NA,"473337702126215168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","markrobinsonca",5,TRUE,FALSE,NA,NA
"9","ExpDes - Experimental Designs package http://t.co/AgeHr2m8W4 #RStats",FALSE,0,NA,2014-06-02 05:30:02,FALSE,NA,"473335712306446336",NA,"<a href=""https://twitter.com/DailyRpackage"" rel=""nofollow"">DailyRpackage</a>","DailyRpackage",0,FALSE,FALSE,NA,NA
"10","RT @KirkDBorne: &gt; @gopivotal introduces R for #BigData with PivotalR: http://t.co/flmv3GHxaH #Rstats #DataScience #Analytics http://t.co/if…",FALSE,0,NA,2014-06-02 05:26:26,FALSE,NA,"473334805539876864",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","paulpeton",14,TRUE,FALSE,NA,NA
"11","RT @kdnuggets: Tutorial: Step-by-Step Guide to Setting Up an R - #Hadoop System #rstats http://t.co/v8nfzyqNhu",FALSE,0,"kdnuggets",2014-06-02 05:22:13,FALSE,"472434455848972288","473333745593122817","20167623","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Soc_Net_Intel",0,FALSE,FALSE,NA,NA
"12","RT @R_Programming: R Programming beginners course - Practice Exercise 3 added http://t.co/GxkKJ4RsQA
#rstats #course #DataScience  #bigdata",FALSE,0,NA,2014-06-02 05:01:52,FALSE,NA,"473328622015500288",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","theoneamit",1,TRUE,FALSE,NA,NA
"13","R Programming beginners course - Practice Exercise 3 added http://t.co/GxkKJ4RsQA
#rstats #course #DataScience  #bigdata",FALSE,3,NA,2014-06-02 04:39:24,FALSE,NA,"473322967925940225",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",1,FALSE,FALSE,NA,NA
"14","RT @KirkDBorne: Build your own Recommendation Engine using R: http://t.co/hhHP35PUDo #Rstats #DataScience #BigData #Analytics #RecSys http:…",FALSE,0,NA,2014-06-02 04:35:42,FALSE,NA,"473322036614291457",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","BaconEnvelope",15,TRUE,FALSE,NA,NA
"15","RT @hadleywickham: a tiny helper to make it easier to extract HTML elements: https://t.co/eOcoPpUMZR. Best used with http://t.co/e7DPmNebzd…",FALSE,0,NA,2014-06-02 04:18:11,FALSE,NA,"473317631634591745",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","johannux",2,TRUE,FALSE,NA,NA
"16","You can now do multidimensional #image #processing &amp; #analysis in R thx @LBNLcs T. Perciano http://t.co/2kts9DClJh #rstats @BerkeleyLab #viz",FALSE,1,NA,2014-06-02 04:10:08,FALSE,NA,"473315602447474691",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","LBNLcs",0,FALSE,FALSE,NA,NA
"17","You can now do multidimensional #image #processing &amp; #analysis in R thx @LBNLcs T. Perciano http://t.co/7Cj4Yi03sO #rstats @BerkeleyLab #viz",FALSE,0,NA,2014-06-02 04:00:25,FALSE,NA,"473313159080853506",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","ESnetUpdates",0,FALSE,FALSE,NA,NA
"18","You can now do multidimensional #image #processing &amp; #analysis in R thx @LBNLcs T. Perciano http://t.co/m2Z4equcrn #rstats @BerkeleyLab #viz",FALSE,1,NA,2014-06-02 03:50:06,FALSE,NA,"473310564358561793",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","NERSC",1,FALSE,FALSE,NA,NA
"19","Quick was huge. Faced more shots, the chances were about 3 PP's better. #rstats #shiny https://t.co/tGl35NgDtn http://t.co/D7ivs0QSOC",FALSE,0,NA,2014-06-02 03:16:42,FALSE,NA,"473302157186564096",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BrockTibert",0,FALSE,FALSE,NA,NA
"20","useR! 2014 Los Angeles http://t.co/JHERxlbnUx #rstats via @user2014_ucla",FALSE,0,NA,2014-06-02 03:14:59,FALSE,NA,"473301726502481920",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","hey_anmol",0,FALSE,FALSE,NA,NA
"21","RT @Bioconductor: BioC2014 #rstats / #Bioconductor annual conference July 30-Aug 1, Boston https://t.co/Afdv2lhOJ3",FALSE,0,NA,2014-06-02 03:04:03,FALSE,NA,"473298971754913793",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","timtriche",5,TRUE,FALSE,NA,NA
"22","RT @DiffusePrioR: sample(c(""Pizza"",""Burger""), 1, replace=F) using #rstats to decide my dinner",FALSE,0,NA,2014-06-02 03:03:40,FALSE,NA,"473298877115027456",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","angelogtz",4,TRUE,FALSE,NA,NA
"23","RT @KirkDBorne: Build your own Recommendation Engine using R: http://t.co/hhHP35PUDo #Rstats #DataScience #BigData #Analytics #RecSys http:…",FALSE,0,NA,2014-06-02 02:54:57,FALSE,NA,"473296684223823872",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","brunosoab",15,TRUE,FALSE,NA,NA
"24","R-Forge partially back up (website accessible, svn still seems to have issues) #rstats",FALSE,0,"omearabrian",2014-06-02 02:46:44,FALSE,"473284595052732417","473294616339681280","156989502","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","omearabrian",0,FALSE,FALSE,NA,NA
"25","RT @KirkDBorne: &gt; @gopivotal introduces R for #BigData with PivotalR: http://t.co/flmv3GHxaH #Rstats #DataScience #Analytics http://t.co/if…",FALSE,0,NA,2014-06-02 02:42:28,FALSE,NA,"473293543113777152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","orlandomezquita",14,TRUE,FALSE,NA,NA
"26","RT @Bioconductor: BioC2014 #rstats / #Bioconductor annual conference July 30-Aug 1, Boston https://t.co/Afdv2lhOJ3",FALSE,0,NA,2014-06-02 02:41:46,FALSE,NA,"473293365505560576",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","dritoshien",5,TRUE,FALSE,NA,NA
"27","BioC2014 #rstats / #Bioconductor annual conference July 30-Aug 1, Boston https://t.co/Afdv2lhOJ3",FALSE,3,NA,2014-06-02 02:40:34,FALSE,NA,"473293064904376320",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Bioconductor",5,FALSE,FALSE,NA,NA
"28","Game 7 #NHL playoffs are the best. Quick is better of the goalies but Kings have closed the gap (Step Chart) #rstats http://t.co/7P8e8vqvB4",FALSE,0,NA,2014-06-02 02:36:34,FALSE,NA,"473292056098791424",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BrockTibert",0,FALSE,FALSE,NA,NA
"29","Watching #NHLplayoffs WCF? use #rstats? My super-alpha Shiny dashboard 2 visualize PBP data + visualize shot quality https://t.co/hZ2QgJtok7",FALSE,0,NA,2014-06-02 02:26:05,FALSE,NA,"473289421307916288",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BrockTibert",0,FALSE,FALSE,NA,NA
"30","R-Forge seems down at the moment (expired security cert -&gt; db error). #rstats",FALSE,0,NA,2014-06-02 02:06:55,FALSE,NA,"473284595052732417",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","omearabrian",0,FALSE,FALSE,NA,NA
"31","RT @gappy3000: Python+Pandas &lt;-&gt; R cheat sheet. https://t.co/j2NfXj4m #rstats #pydata #python #incomplete c @wesmckinn",FALSE,0,NA,2014-06-02 01:02:23,FALSE,NA,"473268354304602112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","brianbilquist",38,TRUE,FALSE,NA,NA
"32","RT @gappy3000: Python+Pandas &lt;-&gt; R cheat sheet. https://t.co/j2NfXj4m #rstats #pydata #python #incomplete c @wesmckinn",FALSE,0,NA,2014-06-02 00:54:50,FALSE,NA,"473266456827011072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pschulam",38,TRUE,FALSE,NA,NA
"33","RT @KirkDBorne: &gt; @gopivotal introduces R for #BigData with PivotalR: http://t.co/flmv3GHxaH #Rstats #DataScience #Analytics http://t.co/if…",FALSE,0,NA,2014-06-02 00:46:56,FALSE,NA,"473264466302230528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","franzViz",14,TRUE,FALSE,NA,NA
"34","RT @paldhous: Some basic stats on FIFA #WorldCup squads http://t.co/dXujJk2yJ2 #rstats",FALSE,0,NA,2014-06-02 00:35:16,FALSE,NA,"473261532814782464",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","solhog",1,TRUE,FALSE,NA,NA
"35","@reyrojo13 @jordimunozm Import SPSS and export @Stata files with the foreign library in #rstats with read.spss() and write.dta()",FALSE,1,"reyrojo13",2014-06-02 00:17:14,FALSE,"472426547924959234","473256993801904129","296351141","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmirSariaslan",0,FALSE,FALSE,NA,NA
"36","RT @KirkDBorne: Build your own Recommendation Engine using R: http://t.co/hhHP35PUDo #Rstats #DataScience #BigData #Analytics #RecSys http:…",FALSE,0,NA,2014-06-02 00:10:19,FALSE,NA,"473255252443947008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lic_grajales",15,TRUE,FALSE,NA,NA
"37","RT @ianjacobs: ""Modeling data with functional programming in R – Vector mechanics"" #rstats http://t.co/gaC9x52C8D",FALSE,0,NA,2014-06-01 23:48:17,FALSE,NA,"473249707792138240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AriBFriedman",3,TRUE,FALSE,NA,NA
"38","RT @KirkDBorne: Build your own Recommendation Engine using R: http://t.co/hhHP35PUDo #Rstats #DataScience #BigData #Analytics #RecSys http:…",FALSE,0,NA,2014-06-01 23:35:34,FALSE,NA,"473246507903115264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jeeva_G",15,TRUE,FALSE,NA,NA
"39","Started using #testthat unit testing suit for #rstats Having made code somewhat modular is paying off now.

https://t.co/qjwDj5DVZS",FALSE,0,NA,2014-06-01 23:24:56,FALSE,NA,"473243832424071169",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","kaz_yos",0,FALSE,FALSE,NA,NA
"40","AcademyR offers Revolution R Enterprise Professional Certification #rstats http://t.co/EzVn4swy1w",FALSE,0,NA,2014-06-01 23:15:43,FALSE,NA,"473241512243769344",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hey_anmol",0,FALSE,FALSE,NA,NA
"41","RT @KirkDBorne: Build your own Recommendation Engine using R: http://t.co/hhHP35PUDo #Rstats #DataScience #BigData #Analytics #RecSys http:…",FALSE,0,NA,2014-06-01 23:06:43,FALSE,NA,"473239245717381120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","froliol",15,TRUE,FALSE,NA,NA
"42","RT @ianjacobs: ""Modeling data with functional programming in R – Vector mechanics"" #rstats http://t.co/gaC9x52C8D",FALSE,0,NA,2014-06-01 22:53:30,FALSE,NA,"473235922029662209",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MccabeCJM",3,TRUE,FALSE,NA,NA
"43","RT @KirkDBorne: Build your own Recommendation Engine using R: http://t.co/hhHP35PUDo #Rstats #DataScience #BigData #Analytics #RecSys http:…",FALSE,0,NA,2014-06-01 22:42:50,FALSE,NA,"473233235330482177",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MrjoeButt",15,TRUE,FALSE,NA,NA
"44","RT @KirkDBorne: Build your own Recommendation Engine using R: http://t.co/hhHP35PUDo #Rstats #DataScience #BigData #Analytics #RecSys http:…",FALSE,0,NA,2014-06-01 22:29:54,FALSE,NA,"473229979791425537",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","civanespinosa",15,TRUE,FALSE,NA,NA
"45","RT @R_Hisp: ¿Pensando en ir a las VI Jornadas de R? Envía tu trabajo antes del 31 de julio. #rstats #6JRes http://t.co/MJSE6ciDCC",FALSE,0,NA,2014-06-01 22:29:39,FALSE,NA,"473229918042861569",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","joscani",5,TRUE,FALSE,NA,NA
"46","RT @KirkDBorne: &gt; @gopivotal introduces R for #BigData with PivotalR: http://t.co/flmv3GHxaH #Rstats #DataScience #Analytics http://t.co/if…",FALSE,0,NA,2014-06-01 22:19:53,FALSE,NA,"473227460239458306",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","itsdalmo",14,TRUE,FALSE,NA,NA
"47","RT @KirkDBorne: &gt; @gopivotal introduces R for #BigData with PivotalR: http://t.co/flmv3GHxaH #Rstats #DataScience #Analytics http://t.co/if…",FALSE,0,NA,2014-06-01 22:18:26,FALSE,NA,"473227096429694978",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dqo",14,TRUE,FALSE,NA,NA
"48","RT @RLangTip: Some nice R tutorials from Willian B. King http://t.co/Da7Db3kUic #rstats",FALSE,0,NA,2014-06-01 22:15:03,FALSE,NA,"473226246156222466",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FGorostiz",27,TRUE,FALSE,NA,NA
"49","RT @R_Hisp: ¿Pensando en ir a las VI Jornadas de R? Envía tu trabajo antes del 31 de julio. #rstats #6JRes http://t.co/MJSE6ciDCC",FALSE,0,NA,2014-06-01 22:07:20,FALSE,NA,"473224301026742272",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","inesgn",5,TRUE,FALSE,NA,NA
